T rho P
11.605 2.51188643150958e-13 4.28547303990553e-16
11.605 3.16227766016838e-13 4.28547303990553e-16
11.605 3.98107170553497e-13 4.28547303990553e-16
11.605 5.01187233627271e-13 4.28547303990553e-16
11.605 6.30957344480194e-13 4.28547303990553e-16
11.605 7.94328234724282e-13 4.28547303990553e-16
11.605 1e-12 4.28547303990553e-16
11.605 1.25892541179417e-12 4.28547303990553e-16
11.605 1.58489319246111e-12 4.28547303990553e-16
11.605 1.99526231496888e-12 4.28547303990553e-16
11.605 2.51188643150958e-12 4.28547303990553e-16
11.605 3.16227766016838e-12 4.28547303990553e-16
11.605 3.98107170553497e-12 4.28547303990553e-16
11.605 5.01187233627271e-12 4.28547303990553e-16
11.605 6.30957344480194e-12 4.28547303990553e-16
11.605 7.94328234724282e-12 4.28547303990553e-16
11.605 1e-11 4.28547303990553e-16
11.605 1.25892541179417e-11 4.28547303990553e-16
11.605 1.58489319246111e-11 4.28547303990553e-16
11.605 1.99526231496888e-11 4.28547303990553e-16
11.605 2.51188643150958e-11 4.28547303990553e-16
11.605 3.16227766016838e-11 4.28547303990553e-16
11.605 3.98107170553497e-11 4.28547303990553e-16
11.605 5.01187233627271e-11 4.28547303990553e-16
11.605 6.30957344480194e-11 4.28547303990553e-16
11.605 7.94328234724282e-11 4.28547303990553e-16
11.605 1e-10 4.28547303990553e-16
11.605 1.25892541179417e-10 4.28547303990553e-16
11.605 1.58489319246111e-10 4.28547303990553e-16
11.605 1.99526231496888e-10 4.28547303990553e-16
11.605 2.51188643150958e-10 4.28547303990553e-16
11.605 3.16227766016838e-10 4.28547303990553e-16
11.605 3.98107170553497e-10 4.28547303990553e-16
11.605 5.01187233627271e-10 4.28547303990553e-16
11.605 6.30957344480194e-10 4.28547303990553e-16
11.605 7.94328234724282e-10 4.28547303990553e-16
11.605 1e-09 4.28547303990553e-16
11.605 1.25892541179417e-09 4.28547303990553e-16
11.605 1.58489319246111e-09 4.28547303990553e-16
11.605 1.99526231496888e-09 4.28547303990553e-16
11.605 2.51188643150958e-09 4.28547303990553e-16
11.605 3.16227766016838e-09 4.28547303990553e-16
11.605 3.98107170553497e-09 4.28547303990553e-16
11.605 5.01187233627271e-09 4.28547303990553e-16
11.605 6.30957344480194e-09 4.28547303990553e-16
11.605 7.94328234724282e-09 4.28547303990553e-16
11.605 1e-08 4.28547303990553e-16
11.605 1.25892541179417e-08 4.28547303990553e-16
11.605 1.58489319246111e-08 4.28547303990553e-16
11.605 1.99526231496888e-08 4.28547303990553e-16
11.605 2.51188643150958e-08 4.28547303990553e-16
11.605 3.16227766016838e-08 4.28547303990553e-16
11.605 3.98107170553497e-08 4.28547303990553e-16
11.605 5.01187233627272e-08 4.28547303990553e-16
11.605 6.30957344480193e-08 4.28547303990553e-16
11.605 7.94328234724282e-08 4.28547303990553e-16
11.605 1e-07 4.28547303990553e-16
11.605 1.25892541179417e-07 4.28547303990553e-16
11.605 1.58489319246111e-07 4.28547303990553e-16
11.605 1.99526231496888e-07 4.28547303990553e-16
11.605 2.51188643150958e-07 4.28547303990553e-16
11.605 3.16227766016838e-07 4.28547303990553e-16
11.605 3.98107170553497e-07 4.28547303990553e-16
11.605 5.01187233627272e-07 4.28547303990553e-16
11.605 6.30957344480193e-07 4.28547303990553e-16
11.605 7.94328234724282e-07 4.28547303990553e-16
11.605 1e-06 4.28547303990553e-16
11.605 1.25892541179417e-06 4.28547303990553e-16
11.605 1.58489319246111e-06 4.28547303990553e-16
11.605 1.99526231496888e-06 4.28547303990553e-16
11.605 2.51188643150958e-06 4.28547303990553e-16
11.605 3.16227766016838e-06 4.28547303990553e-16
11.605 3.98107170553497e-06 4.28547303990553e-16
11.605 5.01187233627272e-06 4.28547303990553e-16
11.605 6.30957344480193e-06 4.28547303990553e-16
11.605 7.94328234724282e-06 4.28547303990553e-16
11.605 1e-05 4.28547303990553e-16
11.605 1.25892541179417e-05 4.28547303990553e-16
11.605 1.58489319246111e-05 4.28547303990553e-16
11.605 1.99526231496888e-05 4.28547303990553e-16
11.605 2.51188643150958e-05 4.28547303990553e-16
11.605 3.16227766016838e-05 4.28547303990553e-16
11.605 3.98107170553497e-05 4.28547303990553e-16
11.605 5.01187233627272e-05 4.28547303990553e-16
11.605 6.30957344480193e-05 4.28547303990553e-16
11.605 7.94328234724282e-05 4.28547303990553e-16
11.605 0.0001 4.28547303990553e-16
11.605 0.000125892541179417 4.28547303990553e-16
11.605 0.000158489319246111 4.28547303990553e-16
11.605 0.000199526231496888 4.28547303990553e-16
11.605 0.000251188643150958 4.28547303990553e-16
11.605 0.000316227766016838 4.28547303990553e-16
11.605 0.000398107170553497 4.28547303990553e-16
11.605 0.000501187233627273 4.28547303990553e-16
11.605 0.000630957344480193 4.28547303990553e-16
11.605 0.000794328234724281 4.28547303990553e-16
11.605 0.001 4.28547303990553e-16
11.605 0.00125892541179417 4.28547303990553e-16
11.605 0.00158489319246111 4.28547303990553e-16
11.605 0.00199526231496888 4.28547303990553e-16
11.605 0.00251188643150958 4.28547303990553e-16
11.605 0.00316227766016838 4.28547303990553e-16
11.605 0.00398107170553497 4.28547303990553e-16
11.605 0.00501187233627272 4.28547303990553e-16
11.605 0.00630957344480193 4.28547303990553e-16
11.605 0.00794328234724281 4.28547303990553e-16
11.605 0.01 4.28547303990553e-16
11.605 0.0125892541179417 4.28547303990553e-16
11.605 0.0158489319246111 4.28547303990553e-16
11.605 0.0199526231496888 4.28547303990553e-16
11.605 0.0251188643150958 4.28547303990553e-16
11.605 0.0316227766016838 4.28547303990553e-16
11.605 0.0398107170553497 4.28547303990553e-16
11.605 0.0501187233627272 4.28547303990553e-16
11.605 0.0630957344480193 4.28547303990553e-16
11.605 0.0794328234724281 4.28547303990553e-16
11.605 0.1 4.28547303990553e-16
11.605 0.125892541179417 4.28547303990553e-16
11.605 0.158489319246111 4.28547303990553e-16
11.605 0.199526231496888 4.28547303990553e-16
11.605 0.251188643150958 4.28547303990553e-16
11.605 0.316227766016838 4.28547303990553e-16
11.605 0.398107170553497 4.28547303990553e-16
11.605 0.501187233627272 4.28547303990553e-16
11.605 0.630957344480193 4.28547303990553e-16
11.605 0.794328234724281 4.28547303990553e-16
11.605 1 4.28547303990553e-16
11.605 1.25892541179417 4.28547303990553e-16
11.605 1.58489319246111 4.28547303990553e-16
11.605 1.99526231496888 4.28547303990553e-16
11.605 2.51188643150958 4.28547303990553e-16
11.605 3.16227766016838 15.5135900111513
11.605 3.98107170553497 61.0245706424756
11.605 5.01187233627272 160.694994607643
11.605 6.30957344480193 361.761930931449
11.605 7.94328234724282 745.558923385849
11.605 10 1449.11217803817
11.605 12.5892541179417 2699.22838180333
11.605 15.8489319246111 4865.8980263589
11.605 19.9526231496888 8545.3806746661
11.605 25.1188643150958 14688.7227479776
11.605 31.6227766016838 24799.5542784409
11.605 39.8107170553497 41237.2181134786
11.605 50.1187233627272 67679.3253762897
11.605 63.0957344480193 109825.199072739
11.605 79.4328234724281 176462.365240389
11.605 100 281078.40256098
14.6098294038713 2.51188643150958e-13 5.45304484892599e-16
14.6098294038713 3.16227766016838e-13 5.45304484892599e-16
14.6098294038713 3.98107170553497e-13 5.45304484892599e-16
14.6098294038713 5.01187233627271e-13 5.45304484892599e-16
14.6098294038713 6.30957344480194e-13 5.45304484892599e-16
14.6098294038713 7.94328234724282e-13 5.45304484892599e-16
14.6098294038713 1e-12 5.45304484892599e-16
14.6098294038713 1.25892541179417e-12 5.45304484892599e-16
14.6098294038713 1.58489319246111e-12 5.45304484892599e-16
14.6098294038713 1.99526231496888e-12 5.45304484892599e-16
14.6098294038713 2.51188643150958e-12 5.45304484892599e-16
14.6098294038713 3.16227766016838e-12 5.45304484892599e-16
14.6098294038713 3.98107170553497e-12 5.45304484892599e-16
14.6098294038713 5.01187233627271e-12 5.45304484892599e-16
14.6098294038713 6.30957344480194e-12 5.45304484892599e-16
14.6098294038713 7.94328234724282e-12 5.45304484892599e-16
14.6098294038713 1e-11 5.45304484892599e-16
14.6098294038713 1.25892541179417e-11 5.45304484892599e-16
14.6098294038713 1.58489319246111e-11 5.45304484892599e-16
14.6098294038713 1.99526231496888e-11 5.45304484892599e-16
14.6098294038713 2.51188643150958e-11 5.45304484892599e-16
14.6098294038713 3.16227766016838e-11 5.45304484892599e-16
14.6098294038713 3.98107170553497e-11 5.45304484892599e-16
14.6098294038713 5.01187233627271e-11 5.45304484892599e-16
14.6098294038713 6.30957344480194e-11 5.45304484892599e-16
14.6098294038713 7.94328234724282e-11 5.45304484892599e-16
14.6098294038713 1e-10 5.45304484892599e-16
14.6098294038713 1.25892541179417e-10 5.45304484892599e-16
14.6098294038713 1.58489319246111e-10 5.45304484892599e-16
14.6098294038713 1.99526231496888e-10 5.45304484892599e-16
14.6098294038713 2.51188643150958e-10 5.45304484892599e-16
14.6098294038713 3.16227766016838e-10 5.45304484892599e-16
14.6098294038713 3.98107170553497e-10 5.45304484892599e-16
14.6098294038713 5.01187233627271e-10 5.45304484892599e-16
14.6098294038713 6.30957344480194e-10 5.45304484892599e-16
14.6098294038713 7.94328234724282e-10 5.45304484892599e-16
14.6098294038713 1e-09 5.45304484892599e-16
14.6098294038713 1.25892541179417e-09 5.45304484892599e-16
14.6098294038713 1.58489319246111e-09 5.45304484892599e-16
14.6098294038713 1.99526231496888e-09 5.45304484892599e-16
14.6098294038713 2.51188643150958e-09 5.45304484892599e-16
14.6098294038713 3.16227766016838e-09 5.45304484892599e-16
14.6098294038713 3.98107170553497e-09 5.45304484892599e-16
14.6098294038713 5.01187233627271e-09 5.45304484892599e-16
14.6098294038713 6.30957344480194e-09 5.45304484892599e-16
14.6098294038713 7.94328234724282e-09 5.45304484892599e-16
14.6098294038713 1e-08 5.45304484892599e-16
14.6098294038713 1.25892541179417e-08 5.45304484892599e-16
14.6098294038713 1.58489319246111e-08 5.45304484892599e-16
14.6098294038713 1.99526231496888e-08 5.45304484892599e-16
14.6098294038713 2.51188643150958e-08 5.45304484892599e-16
14.6098294038713 3.16227766016838e-08 5.45304484892599e-16
14.6098294038713 3.98107170553497e-08 5.45304484892599e-16
14.6098294038713 5.01187233627272e-08 5.45304484892599e-16
14.6098294038713 6.30957344480193e-08 5.45304484892599e-16
14.6098294038713 7.94328234724282e-08 5.45304484892599e-16
14.6098294038713 1e-07 5.45304484892599e-16
14.6098294038713 1.25892541179417e-07 5.45304484892599e-16
14.6098294038713 1.58489319246111e-07 5.45304484892599e-16
14.6098294038713 1.99526231496888e-07 5.45304484892599e-16
14.6098294038713 2.51188643150958e-07 5.45304484892599e-16
14.6098294038713 3.16227766016838e-07 5.45304484892599e-16
14.6098294038713 3.98107170553497e-07 5.45304484892599e-16
14.6098294038713 5.01187233627272e-07 5.45304484892599e-16
14.6098294038713 6.30957344480193e-07 5.45304484892599e-16
14.6098294038713 7.94328234724282e-07 5.45304484892599e-16
14.6098294038713 1e-06 5.45304484892599e-16
14.6098294038713 1.25892541179417e-06 5.45304484892599e-16
14.6098294038713 1.58489319246111e-06 5.45304484892599e-16
14.6098294038713 1.99526231496888e-06 5.45304484892599e-16
14.6098294038713 2.51188643150958e-06 5.45304484892599e-16
14.6098294038713 3.16227766016838e-06 5.45304484892599e-16
14.6098294038713 3.98107170553497e-06 5.45304484892599e-16
14.6098294038713 5.01187233627272e-06 5.45304484892599e-16
14.6098294038713 6.30957344480193e-06 5.45304484892599e-16
14.6098294038713 7.94328234724282e-06 5.45304484892599e-16
14.6098294038713 1e-05 5.45304484892599e-16
14.6098294038713 1.25892541179417e-05 5.45304484892599e-16
14.6098294038713 1.58489319246111e-05 5.45304484892599e-16
14.6098294038713 1.99526231496888e-05 5.45304484892599e-16
14.6098294038713 2.51188643150958e-05 5.45304484892599e-16
14.6098294038713 3.16227766016838e-05 5.45304484892599e-16
14.6098294038713 3.98107170553497e-05 5.45304484892599e-16
14.6098294038713 5.01187233627272e-05 5.45304484892599e-16
14.6098294038713 6.30957344480193e-05 5.45304484892599e-16
14.6098294038713 7.94328234724282e-05 5.45304484892599e-16
14.6098294038713 0.0001 5.45304484892599e-16
14.6098294038713 0.000125892541179417 5.45304484892599e-16
14.6098294038713 0.000158489319246111 5.45304484892599e-16
14.6098294038713 0.000199526231496888 5.45304484892599e-16
14.6098294038713 0.000251188643150958 5.45304484892599e-16
14.6098294038713 0.000316227766016838 5.45304484892599e-16
14.6098294038713 0.000398107170553497 5.45304484892599e-16
14.6098294038713 0.000501187233627273 5.45304484892599e-16
14.6098294038713 0.000630957344480193 5.45304484892599e-16
14.6098294038713 0.000794328234724281 5.45304484892599e-16
14.6098294038713 0.001 5.45304484892599e-16
14.6098294038713 0.00125892541179417 5.45304484892599e-16
14.6098294038713 0.00158489319246111 5.45304484892599e-16
14.6098294038713 0.00199526231496888 5.45304484892599e-16
14.6098294038713 0.00251188643150958 5.45304484892599e-16
14.6098294038713 0.00316227766016838 5.45304484892599e-16
14.6098294038713 0.00398107170553497 5.45304484892599e-16
14.6098294038713 0.00501187233627272 5.45304484892599e-16
14.6098294038713 0.00630957344480193 5.45304484892599e-16
14.6098294038713 0.00794328234724281 5.45304484892599e-16
14.6098294038713 0.01 5.45304484892599e-16
14.6098294038713 0.0125892541179417 5.45304484892599e-16
14.6098294038713 0.0158489319246111 5.45304484892599e-16
14.6098294038713 0.0199526231496888 5.45304484892599e-16
14.6098294038713 0.0251188643150958 5.45304484892599e-16
14.6098294038713 0.0316227766016838 5.45304484892599e-16
14.6098294038713 0.0398107170553497 5.45304484892599e-16
14.6098294038713 0.0501187233627272 5.45304484892599e-16
14.6098294038713 0.0630957344480193 5.45304484892599e-16
14.6098294038713 0.0794328234724281 5.45304484892599e-16
14.6098294038713 0.1 5.45304484892599e-16
14.6098294038713 0.125892541179417 5.45304484892599e-16
14.6098294038713 0.158489319246111 5.45304484892599e-16
14.6098294038713 0.199526231496888 5.45304484892599e-16
14.6098294038713 0.251188643150958 5.45304484892599e-16
14.6098294038713 0.316227766016838 5.45304484892599e-16
14.6098294038713 0.398107170553497 5.45304484892599e-16
14.6098294038713 0.501187233627272 5.45304484892599e-16
14.6098294038713 0.630957344480193 5.45304484892599e-16
14.6098294038713 0.794328234724281 5.45304484892599e-16
14.6098294038713 1 5.45304484892599e-16
14.6098294038713 1.25892541179417 5.45304484892599e-16
14.6098294038713 1.58489319246111 5.45304484892599e-16
14.6098294038713 1.99526231496888 5.45304484892599e-16
14.6098294038713 2.51188643150958 5.45304484892599e-16
14.6098294038713 3.16227766016838 15.5135921853373
14.6098294038713 3.98107170553497 61.0245717197933
14.6098294038713 5.01187233627272 160.69499517362
14.6098294038713 6.30957344480193 361.761931244819
14.6098294038713 7.94328234724282 745.558923567596
14.6098294038713 10 1449.11217814793
14.6098294038713 12.5892541179417 2699.22838187196
14.6098294038713 15.8489319246111 4865.89802640309
14.6098294038713 19.9526231496888 8545.38067469528
14.6098294038713 25.1188643150958 14688.7227479973
14.6098294038713 31.6227766016838 24799.5542784544
14.6098294038713 39.8107170553497 41237.218113488
14.6098294038713 50.1187233627272 67679.3253762964
14.6098294038713 63.0957344480193 109825.199072744
14.6098294038713 79.4328234724281 176462.365240392
14.6098294038713 100 281078.402560983
18.3926854985112 2.51188643150958e-13 6.95133880348125e-16
18.3926854985112 3.16227766016838e-13 6.95133880348125e-16
18.3926854985112 3.98107170553497e-13 6.95133880348125e-16
18.3926854985112 5.01187233627271e-13 6.95133880348125e-16
18.3926854985112 6.30957344480194e-13 6.95133880348125e-16
18.3926854985112 7.94328234724282e-13 6.95133880348125e-16
18.3926854985112 1e-12 6.95133880348125e-16
18.3926854985112 1.25892541179417e-12 6.95133880348125e-16
18.3926854985112 1.58489319246111e-12 6.95133880348125e-16
18.3926854985112 1.99526231496888e-12 6.95133880348125e-16
18.3926854985112 2.51188643150958e-12 6.95133880348125e-16
18.3926854985112 3.16227766016838e-12 6.95133880348125e-16
18.3926854985112 3.98107170553497e-12 6.95133880348125e-16
18.3926854985112 5.01187233627271e-12 6.95133880348125e-16
18.3926854985112 6.30957344480194e-12 6.95133880348125e-16
18.3926854985112 7.94328234724282e-12 6.95133880348125e-16
18.3926854985112 1e-11 6.95133880348125e-16
18.3926854985112 1.25892541179417e-11 6.95133880348125e-16
18.3926854985112 1.58489319246111e-11 6.95133880348125e-16
18.3926854985112 1.99526231496888e-11 6.95133880348125e-16
18.3926854985112 2.51188643150958e-11 6.95133880348125e-16
18.3926854985112 3.16227766016838e-11 6.95133880348125e-16
18.3926854985112 3.98107170553497e-11 6.95133880348125e-16
18.3926854985112 5.01187233627271e-11 6.95133880348125e-16
18.3926854985112 6.30957344480194e-11 6.95133880348125e-16
18.3926854985112 7.94328234724282e-11 6.95133880348125e-16
18.3926854985112 1e-10 6.95133880348125e-16
18.3926854985112 1.25892541179417e-10 6.95133880348125e-16
18.3926854985112 1.58489319246111e-10 6.95133880348125e-16
18.3926854985112 1.99526231496888e-10 6.95133880348125e-16
18.3926854985112 2.51188643150958e-10 6.95133880348125e-16
18.3926854985112 3.16227766016838e-10 6.95133880348125e-16
18.3926854985112 3.98107170553497e-10 6.95133880348125e-16
18.3926854985112 5.01187233627271e-10 6.95133880348125e-16
18.3926854985112 6.30957344480194e-10 6.95133880348125e-16
